year,occ_desc,estab_size1,estab_size2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2021,chemistry technician,all,at least 200 employees,5568,3939
2021,chemistry technician,all,less than 200 employees,3494,2900
2021,civil engineering technician,all,at least 200 employees,4500,4150
2021,civil engineering technician,all,less than 200 employees,4256,4000
2021,electrical engineering technician,all,at least 200 employees,4078,2639
2021,electrical engineering technician,all,less than 200 employees,2880,2650
2021,electronics engineering technician,all,at least 200 employees,3516,2816
2021,electronics engineering technician,all,less than 200 employees,3227,2817
2021,mechanical engineering technician (excluding transport and vehicle engineering technician),all,at least 200 employees,3691,3224
2021,mechanical engineering technician (excluding transport and vehicle engineering technician),all,less than 200 employees,3194,2665
2021,chemical engineering technician,all,at least 200 employees,5909,5909
2021,chemical engineering technician,all,less than 200 employees,3759,2788
2021,"chemical engineering technician (excluding petrochemicals, petroleum and natural gas)",all,less than 200 employees,2325,2280
2021,manufacturing engineering technician,all,at least 200 employees,3940,3195
2021,manufacturing engineering technician,all,less than 200 employees,3701,3027
2021,draughtsman,all,at least 200 employees,4746,4440
2021,draughtsman,all,less than 200 employees,3450,3270
2021,transport and vehicle engineering technician,all,at least 200 employees,3679,3499
2021,transport and vehicle engineering technician,all,less than 200 employees,2792,2480
2021,clinical research coordinator,all,at least 200 employees,4601,4527
2021,air transport service supervisor,all,at least 200 employees,3487,3368
2021,road transport supervisor,all,at least 200 employees,3785,2967
2021,port/shipping operations supervisor (including post-fixture and planner),all,at least 200 employees,3769,2932
2021,port/shipping operations supervisor (including post-fixture and planner),all,less than 200 employees,4528,3663
2021,train operations officer,all,at least 200 employees,3175,2400
2021,road transport operations officer,all,at least 200 employees,3717,2441
2021,road transport operations officer,all,less than 200 employees,2694,2394
2021,premises and facilities maintenance officer,all,at least 200 employees,3601,3361
2021,premises and facilities maintenance officer,all,less than 200 employees,3000,2800
2021,building and fire inspector,all,at least 200 employees,3600,3275
2021,building and fire inspector,all,less than 200 employees,2922,2757
2021,"safety inspector (vehicles, processes and products)",all,at least 200 employees,3230,2949
2021,"safety inspector (vehicles, processes and products)",all,less than 200 employees,3474,2847
2021,medical and pathology laboratory technician,all,at least 200 employees,3855,3270
2021,pharmacy technician,all,at least 200 employees,2896,2772
2021,enrolled/assistant nurse (excluding registered nurse),all,at least 200 employees,2877,2801
2021,optician,all,less than 200 employees,3424,3100
2021,environmental and occupational health inspector,all,at least 200 employees,3645,3498
2021,environmental and occupational health inspector,all,less than 200 employees,2980,2880
2021,credit and loans officer,all,at least 200 employees,4250,4250
2021,credit and loans officer,all,less than 200 employees,6791,5513
2021,assistant accountant,all,at least 200 employees,3560,3457
2021,assistant accountant,all,less than 200 employees,3313,3200
2021,audit associate professional,all,at least 200 employees,4239,4150
2021,audit associate professional,all,less than 200 employees,3430,3400
2021,tax associate professional,all,at least 200 employees,3250,3185
2021,tax associate professional,all,less than 200 employees,3668,3600
2021,valuer and loss assessor,all,at least 200 employees,4536,4387
2021,valuer and loss assessor,all,less than 200 employees,4179,4175
2021,insurance sales agent/broker (including independent financial planner),all,less than 200 employees,4896,4510
2021,commercial and marketing sales executive,all,at least 200 employees,4385,4100
2021,commercial and marketing sales executive,all,less than 200 employees,3705,3300
2021,business development executive,all,at least 200 employees,4416,4179
2021,business development executive,all,less than 200 employees,4015,3700
2021,after sales adviser/client account service executive,all,at least 200 employees,4938,4521
2021,after sales adviser/client account service executive,all,less than 200 employees,3871,3300
2021,marketing and sales executive (food & beverage services),all,less than 200 employees,2860,2237
2021,online sales channel executive,all,at least 200 employees,3600,3381
2021,online sales channel executive,all,less than 200 employees,4000,3550
2021,merchandising/category executive,all,at least 200 employees,3413,3360
2021,merchandising/category executive,all,less than 200 employees,3500,3200
2021,buyer and purchasing agent,all,at least 200 employees,4180,3990
2021,buyer and purchasing agent,all,less than 200 employees,3507,3400
2021,clearing and forwarding agent,all,less than 200 employees,3700,3465
2021,shipping agent/boarding officer,all,at least 200 employees,3710,3549
2021,shipping agent/boarding officer,all,less than 200 employees,4175,3815
2021,exhibition/conference/event planner (including wedding planner/coordinator),all,at least 200 employees,3933,3915
2021,exhibition/conference/event planner (including wedding planner/coordinator),all,less than 200 employees,3500,3416
2021,real estate agent,all,less than 200 employees,4271,3800
2021,logistics and maintenance planner,all,at least 200 employees,4535,4180
2021,logistics and maintenance planner,all,less than 200 employees,3994,3700
2021,management executive,all,at least 200 employees,4312,4175
2021,management executive,all,less than 200 employees,4200,3900
2021,operations officer (except transport operations),all,at least 200 employees,4114,3910
2021,operations officer (except transport operations),all,less than 200 employees,3831,3449
2021,transport equipment project executive,all,at least 200 employees,3401,3264
2021,legal associate professional (e.g. paralegal),all,at least 200 employees,8030,7816
2021,legal associate professional (e.g. paralegal),all,less than 200 employees,5800,5800
2021,social work associate,all,at least 200 employees,3068,2750
2021,social work associate,all,less than 200 employees,2872,2575
2021,sports coach,all,less than 200 employees,4750,4450
2021,interior designer,all,less than 200 employees,4000,4000
2021,visual merchandiser,all,less than 200 employees,2944,2200
2021,chef,all,at least 200 employees,3587,3200
2021,chef,all,less than 200 employees,3700,3500
2021,computer systems operator,all,at least 200 employees,3775,3488
2021,it infrastructure technician,all,at least 200 employees,3749,3500
2021,it infrastructure technician,all,less than 200 employees,3783,3234
2021,it support technician (including it user helpdesk technician),all,at least 200 employees,3407,3190
2021,it support technician (including it user helpdesk technician),all,less than 200 employees,2700,2639
2021,broadcasting technician and audio-visual operator,all,less than 200 employees,2600,2300
2021,pre-primary education teacher,all,less than 200 employees,2812,2765
2021,language instructor (extracurriculum),all,less than 200 employees,2605,2574
2021,private tutor (academic),all,less than 200 employees,4750,4350
2021,office supervisor,all,at least 200 employees,3541,3070
2021,office supervisor,all,less than 200 employees,3094,2700
2021,general office clerk,all,at least 200 employees,2896,2800
2021,general office clerk,all,less than 200 employees,2179,2002
2021,secretary,all,at least 200 employees,4907,4907
2021,secretary,all,less than 200 employees,4250,4100
2021,data entry clerk,all,at least 200 employees,2482,2308
2021,data entry clerk,all,less than 200 employees,1800,1700
2021,bank teller and other counter clerk,all,at least 200 employees,3293,2514
2021,bank teller and other counter clerk,all,less than 200 employees,2291,2000
2021,bank teller,all,less than 200 employees,3069,2966
2021,travel consultant/reservation executive,all,less than 200 employees,2641,2610
2021,telephone operator,all,less than 200 employees,2300,2263
2021,"receptionist, customer service and information clerk",all,at least 200 employees,2919,2650
2021,"receptionist, customer service and information clerk",all,less than 200 employees,2800,2600
2021,accounting and bookkeeping clerk,all,at least 200 employees,3120,3060
2021,accounting and bookkeeping clerk,all,less than 200 employees,2850,2725
2021,finance and insurance clerk,all,at least 200 employees,3945,3617
2021,finance and insurance clerk,all,less than 200 employees,3251,3020
2021,stock clerk,all,at least 200 employees,2894,2500
2021,stock clerk,all,less than 200 employees,2337,2100
2021,production clerk,all,at least 200 employees,3229,2849
2021,production clerk,all,less than 200 employees,2564,2208
2021,transport clerk,all,at least 200 employees,3470,2822
2021,transport clerk,all,less than 200 employees,3050,2875
2021,library clerk,all,at least 200 employees,1666,1527
2021,mail carrier and sorting worker,all,less than 200 employees,1640,1640
2021,legal clerk,all,less than 200 employees,4350,4300
2021,transport service inspector and related worker,all,at least 200 employees,3396,2348
2021,cook (e.g. commis cook 2/3),all,at least 200 employees,1837,1668
2021,cook (e.g. commis cook 2/3),all,less than 200 employees,1500,1500
2021,"senior cook (e.g. station chef, commis cook 1, station cook)",all,less than 200 employees,2900,2560
2021,captain waiter/waiter supervisor,all,at least 200 employees,2398,2200
2021,captain waiter/waiter supervisor,all,less than 200 employees,2348,2000
2021,waiter,all,at least 200 employees,1800,1769
2021,waiter,all,less than 200 employees,1400,1400
2021,barista,all,at least 200 employees,1524,1450
2021,barista,all,less than 200 employees,1800,1800
2021,hair stylist/hairdresser,all,less than 200 employees,2431,1692
2021,beautician,all,less than 200 employees,2678,1620
2021,manicurist,all,less than 200 employees,2000,1500
2021,masseur (non-medical) (including foot reflexologist),all,less than 200 employees,2267,1800
2021,housekeeper and related worker,all,at least 200 employees,1797,1542
2021,housekeeper and related worker,all,less than 200 employees,2467,2376
2021,driving instructor/tester,all,at least 200 employees,3184,2748
2021,sales supervisor,all,at least 200 employees,3183,2798
2021,sales supervisor,all,less than 200 employees,2884,2149
2021,shop sales assistant,all,at least 200 employees,1849,1600
2021,shop sales assistant,all,less than 200 employees,2089,1710
2021,cashier,all,at least 200 employees,2041,1919
2021,cashier,all,less than 200 employees,1600,1408
2021,sales demonstrator,all,at least 200 employees,3963,2385
2021,sales demonstrator,all,less than 200 employees,2149,1649
2021,salesperson (door-to-door),all,less than 200 employees,1641,1641
2021,petrol station attendant,all,at least 200 employees,3024,2185
2021,petrol station attendant,all,less than 200 employees,1505,1350
2021,food service counter attendant,all,at least 200 employees,1819,1165
2021,food service counter attendant,all,less than 200 employees,1400,1400
2021,child care and related worker,all,at least 200 employees,1961,1900
2021,child care and related worker,all,less than 200 employees,2756,2500
2021,teacher aide,all,at least 200 employees,2896,2839
2021,teacher aide,all,less than 200 employees,2700,2669
2021,healthcare assistant (e.g. therapy aide/assistant),all,at least 200 employees,2070,2011
2021,healthcare assistant (e.g. therapy aide/assistant),all,less than 200 employees,1814,1789
2021,nursing aide/assistant,all,at least 200 employees,2200,2057
2021,nursing aide/assistant,all,less than 200 employees,3100,3018
2021,senior security supervisor,all,at least 200 employees,3418,2970
2021,security supervisor,all,at least 200 employees,3138,2268
2021,security supervisor,all,less than 200 employees,2680,2055
2021,senior private security officer,all,at least 200 employees,2773,1650
2021,senior private security officer,all,less than 200 employees,2500,1585
2021,private security officer,all,at least 200 employees,2544,1500
2021,private security officer,all,less than 200 employees,2200,1401
2021,gardener and horticultural worker,all,less than 200 employees,1500,1450
2021,supervisor/general foreman (building and related trades),all,at least 200 employees,3820,3428
2021,supervisor/general foreman (building and related trades),all,less than 200 employees,3100,2933
2021,plumber,all,less than 200 employees,1925,1825
2021,air-conditioning/refrigeration equipment mechanic,all,less than 200 employees,2636,2383
2021,"spray painter, varnisher and other painter",all,at least 200 employees,1497,1497
2021,building maintenance worker,all,at least 200 employees,2400,2107
2021,building maintenance worker,all,less than 200 employees,2000,1990
2021,"supervisor/general foreman (metal, machinery and related trades)",all,at least 200 employees,4011,3133
2021,"supervisor/general foreman (metal, machinery and related trades)",all,less than 200 employees,3225,2988
2021,welder and flame cutter,all,less than 200 employees,2351,2120
2021,automotive mechanic,all,at least 200 employees,3854,2666
2021,machinery mechanic,all,less than 200 employees,2140,2140
2021,"supervisor/general foreman (precision, handicraft, printing and related trades)",all,at least 200 employees,4112,3950
2021,"supervisor/general foreman (precision, handicraft, printing and related trades)",all,less than 200 employees,3786,3340
2021,lift supervisor,all,at least 200 employees,4621,3325
2021,"supervisor/general foreman (electrical and electronic trades, excluding lift)",all,less than 200 employees,4080,3150
2021,electrician,all,less than 200 employees,2609,2500
2021,electrical mechanic and fitter,all,at least 200 employees,2896,2116
2021,"supervisor/general foreman (food processing, woodworking, garment, leather and related trades)",all,at least 200 employees,3005,2709
2021,"supervisor/general foreman (food processing, woodworking, garment, leather and related trades)",all,less than 200 employees,3014,2800
2021,"baker, pastry and confectionery maker",all,less than 200 employees,1550,1500
2021,fumigator and other pest and weed controller,all,less than 200 employees,1947,1700
2021,stationary plant and machine supervisor/general foreman,all,less than 200 employees,3005,2365
2021,machine-tool setter-operator,all,less than 200 employees,2428,1716
2021,plastic products machine operator,all,less than 200 employees,1500,1300
2021,"laundry and dry cleaning worker (machine, non-household)",all,less than 200 employees,1740,1400
2021,food and related products machine operator,all,less than 200 employees,1500,1400
2021,packing/bottling/labelling machine operator,all,less than 200 employees,1424,1424
2021,"printing, binding and related machine operator",all,less than 200 employees,1678,1583
2021,supervisor/general foreman of assembler and quality checker,all,at least 200 employees,3766,3222
2021,supervisor/general foreman of assembler and quality checker,all,less than 200 employees,3069,2370
2021,electrical and electronic equipment assembler,all,at least 200 employees,2214,1766
2021,electrical and electronic equipment assembler,all,less than 200 employees,2563,1596
2021,quality checker and tester,all,at least 200 employees,2766,2206
2021,quality checker and tester,all,less than 200 employees,2244,1993
2021,motorcycle delivery man,all,at least 200 employees,3875,2722
2021,motorcycle delivery man,all,less than 200 employees,2036,1700
2021,delivery man using motorised personal mobility aids/devices,all,less than 200 employees,1800,1800
2021,"car, taxi, van and light goods vehicle driver",all,at least 200 employees,3026,2237
2021,"car, taxi, van and light goods vehicle driver",all,less than 200 employees,2030,1875
2021,chauffeur,all,at least 200 employees,2765,2500
2021,chauffeur,all,less than 200 employees,2569,2300
2021,van driver,all,at least 200 employees,3055,1982
2021,van driver,all,less than 200 employees,2050,1934
2021,bus driver,all,at least 200 employees,4059,2509
2021,bus driver,all,less than 200 employees,1800,1500
2021,lorry driver,all,at least 200 employees,3170,2100
2021,lorry driver,all,less than 200 employees,2240,1965
2021,trailer-truck driver (including prime mover driver),all,at least 200 employees,3052,1988
2021,trailer-truck driver (including prime mover driver),all,less than 200 employees,3050,2450
2021,waste truck driver (including hooklift trucks with roll-on containers),all,at least 200 employees,3316,1900
2021,crane/hoist operator (excluding port),all,at least 200 employees,5336,2400
2021,crane/hoist operator (excluding port),all,less than 200 employees,5123,3000
2021,crane operator (on-site),all,at least 200 employees,3916,2572
2021,fork lift truck operator,all,less than 200 employees,2005,1899
2021,ships' deck crew and related worker,all,at least 200 employees,2714,1952
2021,cleaning supervisor,all,at least 200 employees,2277,1800
2021,cleaning supervisor,all,less than 200 employees,1876,1860
2021,cleaner and helper in hotels and related establishments,all,at least 200 employees,2197,1912
2021,cleaner and helper in hotels and related establishments,all,less than 200 employees,1636,1547
2021,"office, commercial and industrial establishments indoor cleaner",all,at least 200 employees,1452,1300
2021,"office, commercial and industrial establishments indoor cleaner",all,less than 200 employees,1400,1400
2021,"office, commercial and industrial establishments outdoor cleaner",all,at least 200 employees,1640,1450
2021,"office, commercial and industrial establishments multi-skilled cleaner cum machine operator",all,at least 200 employees,1500,1400
2021,food and beverage establishments general cleaner,all,at least 200 employees,1674,1400
2021,food and beverage establishments general cleaner,all,less than 200 employees,1400,1400
2021,dishwasher,all,less than 200 employees,1400,1400
2021,residential and open areas general cleaner,all,at least 200 employees,1450,1236
2021,"park, garden and landscape maintenance worker",all,at least 200 employees,1500,1500
2021,"park, garden and landscape maintenance worker",all,less than 200 employees,1450,1450
2021,civil engineering/building construction labourer,all,less than 200 employees,1400,1400
2021,hand packer,all,at least 200 employees,1577,1522
2021,hand packer,all,less than 200 employees,1450,1400
2021,aircraft loader (e.g. airport baggage/cargo handler),all,less than 200 employees,2000,1800
2021,warehouse worker,all,at least 200 employees,2681,2395
2021,warehouse worker,all,less than 200 employees,2100,1850
2021,vehicle attendant,all,less than 200 employees,1655,1500
2021,kitchen assistant,all,at least 200 employees,1914,1500
2021,kitchen assistant,all,less than 200 employees,1400,1400
2021,food/drink stall assistant,all,less than 200 employees,1400,1400
2021,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",all,at least 200 employees,1450,1400
2021,"tea server/steward (excluding bartender, barista and food/drink stall assistant)",all,less than 200 employees,1405,1405
2021,porter and related worker,all,at least 200 employees,1718,1611
2021,attendant,all,at least 200 employees,1947,1750
2021,attendant,all,less than 200 employees,1539,1539
2021,hospital/clinic attendant,all,at least 200 employees,1947,1750
2021,hospital/clinic attendant,all,less than 200 employees,2900,1895
2021,car park attendant,all,less than 200 employees,1435,1435
2021,building caretaker/watchman,all,less than 200 employees,2227,2190
2021,odd job person,all,less than 200 employees,1400,1400
